Time (s);Electrode;Attention;Meditation;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Mid Gamma;Blink Strength;Sampling Rate
0.0000000000e+000;8.2000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;512
1.9531250000e-003;7.5000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
3.9062500000e-003;5.9000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
5.8593750000e-003;4.9000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
7.8125000000e-003;5.3000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
9.7656250000e-003;6.9000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
1.1718750000e-002;1.2800000000e+002;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
1.3671875000e-002;1.0700000000e+002;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
1.5625000000e-002;8.0000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
1.7578125000e-002;7.6000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
1.9531250000e-002;9.8000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
2.1484375000e-002;1.0800000000e+002;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
2.3437500000e-002;1.0100000000e+002;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
2.5390625000e-002;8.5000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
2.7343750000e-002;6.9000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
2.9296875000e-002;5.4000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
3.1250000000e-002;4.0000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
3.3203125000e-002;1.9000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
3.5156250000e-002;-1.7000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
3.7109375000e-002;-4.5000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
3.9062500000e-002;-5.2000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
4.1015625000e-002;3.5000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
4.2968750000e-002;-1.7000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
4.4921875000e-002;-5.2000000000e+001;4.3000000000e+001;5.1000000000e+001;1.0367170000e+006;1.2924000000e+005;6.6520000000e+003;2.3588000000e+004;1.1667000000e+004;1.7148000000e+004;2.3360000000e+003;8.9400000000e+002;0.0000000000e+000;
