Time (s);Electrode;Attention;Meditation;Blink Strength;Sampling Rate
0.0000000000e+000;1.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;512
1.9531250000e-003;4.8000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
3.9062500000e-003;5.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
5.8593750000e-003;8.0000000000e+000;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
7.8125000000e-003;2.4000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
9.7656250000e-003;5.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
1.1718750000e-002;7.3000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
1.3671875000e-002;8.8000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
1.5625000000e-002;8.9000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
1.7578125000e-002;8.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
1.9531250000e-002;7.6000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
2.1484375000e-002;7.2000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
2.3437500000e-002;7.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
2.5390625000e-002;8.6000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
2.7343750000e-002;1.0200000000e+002;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
2.9296875000e-002;1.0100000000e+002;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
3.1250000000e-002;8.2000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
3.3203125000e-002;5.9000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
3.5156250000e-002;3.5000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
3.7109375000e-002;2.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
3.9062500000e-002;2.7000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
4.1015625000e-002;4.1000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
4.2968750000e-002;3.8000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
4.4921875000e-002;2.3000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
4.6875000000e-002;1.1000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
4.8828125000e-002;-4.0000000000e+000;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
5.0781250000e-002;-7.0000000000e+000;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
5.2734375000e-002;9.0000000000e+000;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
5.4687500000e-002;3.9000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
5.6640625000e-002;7.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
5.8593750000e-002;1.0100000000e+002;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
6.0546875000e-002;1.1800000000e+002;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
6.2500000000e-002;1.0600000000e+002;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
6.4453125000e-002;3.8000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
6.6406250000e-002;4.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
6.8359375000e-002;6.1000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
7.0312500000e-002;6.7000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
7.2265625000e-002;5.0000000000e+001;8.0000000000e+001;5.3000000000e+001;0.0000000000e+000;
7.4218750000e-002;5.8000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
7.6171875000e-002;8.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
7.8125000000e-002;8.4000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
8.0078125000e-002;5.7000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
8.2031250000e-002;4.0000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
8.3984375000e-002;2.8000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
8.5937500000e-002;2.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
8.7890625000e-002;2.3000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
8.9843750000e-002;2.4000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
9.1796875000e-002;6.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
9.3750000000e-002;-1.9000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
9.5703125000e-002;-1.9000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
9.7656250000e-002;-7.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
9.9609375000e-002;-6.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.0156250000e-001;-4.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.0351562500e-001;-1.1000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.0546875000e-001;-2.9000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.0742187500e-001;-2.6000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.0937500000e-001;-3.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.1132812500e-001;3.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.1328125000e-001;6.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.1523437500e-001;1.9000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.1718750000e-001;2.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.1914062500e-001;2.7000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.2109375000e-001;4.1000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.2304687500e-001;5.4000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.2500000000e-001;5.7000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.2695312500e-001;6.1000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.2890625000e-001;6.9000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.3085937500e-001;7.0000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.3281250000e-001;7.2000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.3476562500e-001;8.6000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.3671875000e-001;8.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.3867187500e-001;5.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.4062500000e-001;3.2000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.4257812500e-001;2.6000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.4453125000e-001;1.6000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.4648437500e-001;4.0000000000e+000;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.4843750000e-001;2.4000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.5039062500e-001;5.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.5234375000e-001;5.4000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.5429687500e-001;3.7000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.5625000000e-001;2.7000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.5820312500e-001;3.5000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
1.6015625000e-001;4.9000000000e+001;7.7000000000e+001;2.6000000000e+001;0.0000000000e+000;
